idx,B,E,core,sp,mu_dot_t,lambda_sum,mu,lambda
82,8,1,D6_B8_0012,7,6,4,0 0 0 0 1 0 0 1,0 0 0 0 1 0 1 1 0 1
83,8,0,D6_B8_0013,-1,5,3,0 0 0 0 0 0 1 1,0 1 0 0 0 1 1 0 0 0
84,8,1,D6_B8_0013,0,5,3,1 0 0 0 0 0 0 1,0 0 0 0 0 1 1 1 0 0
85,8,1,D6_B8_0013,1,4,3,1 0 0 0 0 0 0 1,0 0 0 0 0 0 1 1 1 0
86,8,1,D6_B8_0013,2,6,3,0 0 1 0 0 0 0 1,0 0 0 0 0 0 1 1 1 0
87,8,1,D6_B8_0013,3,5,3,0 0 0 0 0 0 1 1,0 1 0 0 0 1 1 0 0 0
88,8,1,D6_B8_0013,4,4,3,0 0 1 0 0 0 1 0,0 0 0 0 0 0 1 1 1 0
89,8,1,D6_B8_0013,5,5,3,0 0 0 0 0 0 1 1,0 1 0 0 0 0 1 0 1 0
90,8,1,D6_B8_0013,6,6,3,0 0 0 0 0 0 1 1,0 0 0 0 0 0 1 1 1 0
91,8,1,D6_B8_0013,7,4,3,0 0 0 0 0 0 0 1,0 1 0 0 0 1 0 0 0 1
92,8,0,D6_B8_0014,-1,5,4,0 0 1 0 0 0 0 1,0 0 0 0 1 0 1 1 1 0
93,8,1,D6_B8_0014,0,5,4,1 0 1 0 0 0 0 0,0 1 0 0 1 1 0 0 0 1
94,8,1,D6_B8_0014,1,5,4,0 0 1 0 0 0 0 1,0 0 0 0 1 0 1 1 1 0
95,8,1,D6_B8_0014,2,5,4,1 0 1 0 0 0 0 0,0 1 0 0 1 1 1 0 0 0
96,8,1,D6_B8_0014,3,5,4,1 0 0 0 0 0 0 1,0 0 0 0 1 0 1 1 1 0
97,8,1,D6_B8_0014,4,5,4,1 0 0 0 0 0 0 1,0 0 0 0 1 0 1 1 1 0
98,8,1,D6_B8_0014,5,5,4,1 0 0 0 0 0 0 1,0 0 0 0 1 0 1 1 1 0
99,8,1,D6_B8_0014,6,5,4,1 0 0 0 0 0 1 0,0 0 0 0 1 1 0 1 0 1
100,8,1,D6_B8_0014,7,6,4,0 0 1 0 0 0 0 1,0 0 0 0 1 0 1 1 1 0
101,8,0,D6_B8_0015,-1,6,4,1 0 1 0 0 0 1 0,0 0 0 0 0 1 1 1 1 0
102,8,1,D6_B8_0015,0,5,4,1 0 0 0 0 0 1 0,0 0 0 0 0 1 1 1 1 0
103,8,1,D6_B8_0015,1,6,4,1 0 1 0 0 0 1 0,0 0 0 0 0 1 1 1 1 0
104,8,1,D6_B8_0015,2,5,4,1 0 1 0 0 0 0 0,0 0 0 0 0 1 1 1 1 0
105,8,1,D6_B8_0015,3,6,4,1 0 1 0 0 0 1 0,0 0 0 0 0 1 1 1 1 0
106,8,1,D6_B8_0015,4,6,4,1 0 1 0 0 0 1 0,0 0 0 0 1 1 1 1 0 0
107,8,1,D6_B8_0015,5,6,4,1 0 1 0 0 0 1 0,0 0 0 0 1 1 1 1 0 0
108,8,1,D6_B8_0015,6,5,4,1 0 0 0 0 0 1 0,0 0 0 0 1 1 1 1 0 0
109,8,1,D6_B8_0015,7,6,5,1 0 0 0 0 0 0 1,0 0 0 1 1 1 1 1 0 0
110,8,1,D6_B8_0016,6,7,6,1 1 1 0 0 1 0 0,0 0 1 1 1 1 1 0 1 0
111,8,0,D6_B8_0017,-1,6,5,0 1 1 0 1 1 0 0,0 1 1 1 0 1 1 0 0 0
112,8,1,D6_B8_0017,0,6,5,0 1 1 0 1 1 0 0,0 1 1 1 0 1 1 0 0 0
113,8,1,D6_B8_0017,1,6,5,0 1 0 0 1 1 0 0,0 1 1 1 0 1 1 0 0 0
114,8,1,D6_B8_0017,2,6,5,0 0 1 0 1 1 0 0,0 1 1 1 0 1 1 0 0 0
115,8,1,D6_B8_0017,3,6,5,0 1 1 0 1 1 0 0,0 1 1 1 0 1 1 0 0 0
116,8,1,D6_B8_0017,4,5,4,0 0 0 0 1 1 0 0,0 0 1 1 0 1 0 1 0 0
117,8,1,D6_B8_0017,5,5,4,0 0 0 0 1 1 0 0,0 0 1 1 0 1 0 1 0 0
118,8,1,D6_B8_0017,6,6,5,0 1 1 0 1 1 0 0,0 1 1 1 0 1 1 0 0 0
119,8,1,D6_B8_0017,7,6,5,0 1 1 0 1 1 0 0,0 1 1 1 0 1 1 0 0 0
120,8,1,D6_B8_0018,0,8,7,0 1 1 0 1 1 0 0,1 1 1 1 0 1 0 1 1 0
121,8,0,D6_B8_0019,-1,3,2,1 0 1 0 0 0 0 0,0 0 1 0 0 1 0 0 0 0
122,8,1,D6_B8_0019,0,3,2,1 0 0 0 0 0 0 0,0 1 0 0 0 1 0 0 0 0
123,8,1,D6_B8_0019,1,3,2,1 0 1 0 0 0 0 0,0 0 1 0 0 1 0 0 0 0
124,8,1,D6_B8_0019,2,2,1,0 0 1 0 0 0 0 0,1 0 0 0 0 0 0 0 0 0
125,8,1,D6_B8_0019,3,3,2,1 0 1 0 0 0 0 0,0 0 1 0 0 1 0 0 0 0
126,8,1,D6_B8_0019,4,3,2,1 0 1 0 0 0 0 0,0 0 1 0 0 1 0 0 0 0
127,8,1,D6_B8_0019,5,3,2,0 0 0 0 0 1 0 0,0 0 0 1 0 1 0 0 0 0
128,8,1,D6_B8_0019,6,3,2,1 0 1 0 0 0 0 0,0 0 1 0 0 1 0 0 0 0
129,8,1,D6_B8_0019,7,3,2,0 0 0 0 0 0 0 1,0 0 0 0 0 1 0 1 0 0
130,8,0,D6_B8_0020,-1,6,4,1 0 0 1 0 0 0 1,1 1 0 0 0 0 0 0 1 1
