B,E,core,sp,sum_lambda,lambda
14,1,T14_0016,13,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0017,5,1,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
14,1,T14_0018,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,1,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,2,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,3,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,4,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0
14,1,T14_0018,5,3,0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,6,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,7,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,8,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,9,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,10,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,11,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,12,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0018,13,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0021,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0022,0,1,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
14,1,T14_0023,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0024,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
14,1,T14_0025,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
14,1,T14_0026,0,1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
14,1,T14_0027,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0037,0,1,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0038,1,1,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,1,2,0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
14,1,T14_0039,2,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,3,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14,1,T14_0039,4,2,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
14,1,T14_0039,5,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
